,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,Popondetta,-8.75,148.25,304.05,62,33,2.52,PG,1589597067
160,Baltasi,56.35,50.21,279.17,81,94,8.61,RU,1589597067
161,Amapá,1,-52,295.67,98,99,0.99,BR,1589597067
162,Arlit,18.74,7.39,303.51,12,0,4.53,NE,1589596876
163,Bella Vista,36.43,-94.23,289.26,87,1,2.6,US,1589596918
164,Yatou,37.15,122.38,293.38,70,44,4.61,CN,1589597068
165,Voh,-20.97,164.7,298.99,61,51,4.49,NC,1589597068
166,Mandalgovi,45.76,106.27,278.94,48,0,12.67,MN,1589597068
167,Katsuura,35.13,140.3,292.59,94,100,2.68,JP,1589596787
168,Sioux Lookout,50.1,-91.92,283.15,71,75,1,CA,1589597068
169,Camaná,-16.62,-72.71,291.37,75,81,2.87,PE,1589596842
170,Iqaluit,63.75,-68.51,272.15,80,75,2.1,CA,1589596778
171,Saint-Pierre,-21.34,55.48,296.15,64,90,2.6,RE,1589597069
172,Beringovskiy,63.05,179.32,273.05,96,93,6.55,RU,1589596798
173,Ardakān,32.31,54.02,291.15,27,0,2.1,IR,1589597069
174,Haines Junction,60.75,-137.51,287.27,40,59,2.69,CA,1589596854
175,Atar,20.52,-13.05,295.63,24,0,5.11,MR,1589597070
176,Sattur,9.37,77.93,302.15,74,40,2.1,IN,1589597070
177,Abalak,58.13,68.59,285.94,51,0,1.54,RU,1589597070
178,Astara,38.5,48.67,286.15,100,20,1,AZ,1589597070
179,Sola,-13.88,167.55,299.88,82,70,7.87,VU,1589596796
180,College,64.86,-147.8,292.15,24,40,4.1,US,1589596788
181,Pangnirtung,66.15,-65.71,271.04,89,78,1.21,CA,1589596824
182,Omsukchan,62.53,155.8,275.04,90,100,1.29,RU,1589596825
183,Porosozero,62.72,32.73,274.87,85,6,0.98,RU,1589597072
184,Camapuã,-19.53,-54.04,291,85,88,2.1,BR,1589597072
185,Saint-Michel-des-Saints,46.68,-73.92,281.48,9,100,0.84,CA,1589596926
186,Akdepe,42.06,59.38,291.15,59,55,2.1,TM,1589597072
187,Port Hawkesbury,45.62,-61.35,274.26,86,1,1.5,CA,1589597072
188,Corrente,-3.74,-43.34,296.24,98,99,0.86,BR,1589597073
189,Ambon City,-3.7,128.18,302.23,77,9,4.54,ID,1589597073
190,Thompson,55.74,-97.86,279.15,30,40,1.5,CA,1589596770
191,Nioro,13.35,-15.75,296.31,40,0,1.48,GM,1589597073
192,Superior,46.72,-92.1,284.26,81,1,0.94,US,1589597073
193,Coyhaique,-45.58,-72.07,285.15,87,100,0.5,CL,1589596854
194,Deputatsky,69.3,139.9,274.59,100,98,1.39,RU,1589596838
195,Sinnamary,5.38,-52.95,297.93,90,100,3.13,GF,1589597074
196,Ribas do Rio Pardo,-20.44,-53.76,290.93,84,76,2.46,BR,1589597074
197,Palembang,-2.92,104.75,302.15,83,75,2.1,ID,1589596795
198,Mayo,38.89,-76.51,298.15,57,1,3.1,US,1589597075
199,Klaksvík,62.23,-6.59,276.15,74,95,8.2,FO,1589596805
200,Port Lincoln,-34.73,135.87,289.72,42,0,3.35,AU,1589597075
201,Saldanha,-33.01,17.94,282.15,87,67,1.5,ZA,1589596791
202,Port-Cartier,50.03,-66.87,279.26,60,75,2.6,CA,1589597076
203,Tarata,-17.62,-66.02,288.15,30,98,3.6,BO,1589597076
204,Novaya Igirma,57.13,103.91,284.18,42,11,2.21,RU,1589597076
205,Labuhan,-6.88,112.21,302.28,75,67,2.82,ID,1589596833
206,Octeville,49.63,-1.64,284.26,86,0,1.5,FR,1589597076
207,Ürümqi,43.8,87.6,294.15,43,96,3,CN,1589597002
208,Bengkulu,-3.8,102.27,303.81,60,35,0.88,ID,1589596776
209,Antofagasta,-23.65,-70.4,288.15,82,90,1,CL,1589597033
210,Chui,-33.7,-53.46,286.02,73,35,5.11,UY,1589596821
211,Naryan-Mar,67.67,53.09,276.23,75,0,2.33,RU,1589597078
212,Yashkino,55.87,85.43,292.15,59,20,7,RU,1589597078
213,Yulara,-25.24,130.99,290.15,27,0,5.7,AU,1589597078
214,Huarmey,-10.07,-78.15,292.32,84,12,2.79,PE,1589597078
215,Esna,25.29,32.55,303.15,35,0,1,EG,1589597078
216,Mīzan Teferī,6.98,35.58,289.49,90,92,1.2,ET,1589597079
217,Saint-Augustin,51.23,-58.65,275.37,84,34,3.11,CA,1589596869
218,Grindavik,63.84,-22.43,275.15,64,0,3.6,IS,1589596777
219,Pontianak,-0.03,109.33,302.15,83,20,2.1,ID,1589597079
220,Pauini,-7.71,-66.98,294.63,95,2,0.8,BR,1589597079
221,Namatanai,-3.67,152.43,303.31,70,3,4.44,PG,1589596759
222,Paphos,34.77,32.42,297.15,36,0,4.1,CY,1589597080
223,Kurumkan,54.3,110.3,279.33,75,100,1.49,RU,1589597080
224,Kirakira,-10.45,161.92,302.12,77,25,4.87,SB,1589596990
225,Ellensburg,47,-120.55,294.15,30,40,2.6,US,1589597080
226,Oktyabr'skiy,54.48,53.47,281.87,85,93,5.9,RU,1589596879
227,Zmeinogorsk,51.16,82.19,290.84,65,58,5.5,RU,1589597081
228,Sabang,5.89,95.32,301.65,81,100,4.08,ID,1589597081
229,Felipe Carrillo Puerto,19.58,-88.05,297.63,92,0,1.6,MX,1589597081
230,Flin Flon,54.77,-101.86,276.71,59,0,0.28,CA,1589596865
231,Constitución,-35.33,-72.42,288.39,86,4,3.85,CL,1589596825
232,Rundu,-17.93,19.77,283.15,61,0,1.75,NA,1589597082
233,Ingham,42.6,-84.38,291.15,82,90,3.19,US,1589597082
234,Tuatapere,-46.13,167.68,285.52,70,10,1.98,NZ,1589596813
235,Jutaí,-5.18,-68.9,296.34,97,87,1.56,BR,1589597082
236,Fortuna,40.6,-124.16,289.26,71,1,4.6,US,1589596792
237,Dharampur,20.53,73.18,304.71,53,57,2.17,IN,1589597083
238,Killybegs,54.63,-8.45,280.37,89,100,0.45,IE,1589597083
239,Kotovo,50.32,44.8,280.5,80,95,1.59,RU,1589597083
240,Sarangani,5.4,125.46,302.62,74,89,4.26,PH,1589597083
241,Orlik,52.52,99.83,281.81,45,0,1.97,RU,1589597083
242,Tasiilaq,65.61,-37.64,274.15,69,100,6.2,GL,1589596769
243,Kyaikkami,16.08,97.57,304.14,67,55,0.79,MM,1589597084
244,Alexandria,31.22,29.96,295.15,68,3,2.6,EG,1589596654
245,Visby,57.64,18.3,281.48,81,1,7.7,SE,1589597084
246,Dingle,11,122.67,306.39,53,65,2.35,PH,1589596797
247,Zalţan,32.95,11.87,302.37,14,40,6.98,LY,1589597085
248,Talaya,61.38,152.75,275.74,83,100,5.04,RU,1589597085
249,Airai,-8.93,125.41,295.03,83,56,2.17,TL,1589596759
250,Moosomin,50.13,-101.67,281.14,84,99,3.68,CA,1589597085
251,Saint George,37.1,-113.58,302.15,14,1,4.1,US,1589596795
252,Mount Gambier,-37.83,140.77,287.15,58,0,5.1,AU,1589596833
253,Nelson Bay,-32.72,152.15,293.15,60,40,4.1,AU,1589597086
254,Baruun-Urt,46.68,113.28,279.61,61,85,5.96,MN,1589597086
